"","from","to","Carrier","Departures","Seats","Passengers","Aircraft","Distance"
"6668","SXP","AUK","Hageland Aviation Service",1,6,2,35,13
"6669","SXP","BET","Hageland Aviation Service",1,6,3,35,156
"6670","SXP","EMK","Hageland Aviation Service",2,12,3,35,20
"6671","SXP","EMK","Hageland Aviation Service",1,9,9,416,20
"6672","SXP","KOT","Hageland Aviation Service",2,12,1,35,53
"6673","SXP","KOT","Hageland Aviation Service",2,12,9,35,53
"6674","SXP","KSM","Hageland Aviation Service",5,30,5,35,59
"6675","SXP","KSM","Hageland Aviation Service",2,18,16,416,59
"6676","SXP","MOU","Hageland Aviation Service",2,12,2,35,47
"6677","SXP","MOU","Hageland Aviation Service",3,27,8,416,47
"6678","SXP","MOU","Hageland Aviation Service",1,6,4,35,47
"6679","SXP","MOU","Hageland Aviation Service",1,9,6,416,47
"6680","TLA","KTS","Hageland Aviation Service",4,32,13,194,5
"6681","TLA","KTS","Hageland Aviation Service",5,45,21,416,5
"6682","TLA","KTS","Hageland Aviation Service",1,9,5,417,5
"6683","TLA","OME","Hageland Aviation Service",5,40,18,194,59
"6684","TLA","OME","Hageland Aviation Service",2,18,14,416,59
"6685","TLA","OME","Hageland Aviation Service",2,18,4,417,59
"6686","TLA","WTK","Hageland Aviation Service",1,8,8,194,184
"6687","TLT","AKI","Hageland Aviation Service",5,30,10,35,16
"6688","TLT","ANI","Hageland Aviation Service",1,6,1,35,58
"6689","TLT","BET","Hageland Aviation Service",32,192,65,35,36
"6690","TLT","BET","Hageland Aviation Service",1,9,1,416,36
"6691","TLT","KKI","Hageland Aviation Service",16,96,28,35,20
"6692","TLT","KLG","Hageland Aviation Service",1,6,3,35,37
"6693","TLT","KWT","Hageland Aviation Service",2,12,2,35,26
"6694","TNK","BET","Hageland Aviation Service",3,18,5,35,118
"6695","TNK","BET","Hageland Aviation Service",14,126,47,416,118
"6696","TNK","MYU","Hageland Aviation Service",4,36,12,416,37
"6697","TNK","NME","Hageland Aviation Service",9,81,31,416,19
"6698","TNK","OOK","Hageland Aviation Service",3,27,13,416,6
"6699","TNK","WWT","Hageland Aviation Service",16,144,69,416,32
"6700","UNK","ANC","Hageland Aviation Service",1,9,9,417,392
"6701","UNK","AUK","Hageland Aviation Service",1,6,2,35,145
"6702","UNK","ELI","Hageland Aviation Service",2,18,9,416,67
"6703","UNK","GLV","Hageland Aviation Service",1,6,5,35,82
"6704","UNK","GLV","Hageland Aviation Service",1,19,13,405,82
"6705","UNK","KAL","Hageland Aviation Service",3,18,2,35,69
"6706","UNK","KKA","Hageland Aviation Service",20,120,14,35,74
"6707","UNK","KKA","Hageland Aviation Service",3,18,2,35,74
"6708","UNK","MLL","Hageland Aviation Service",1,6,1,35,145
"6709","UNK","NUL","Hageland Aviation Service",1,6,1,35,100
"6710","UNK","OME","Hageland Aviation Service",2,16,3,194,147
"6711","UNK","OME","Hageland Aviation Service",1,9,3,417,147
"6712","UNK","ORV","Hageland Aviation Service",1,6,3,35,204
"6713","UNK","OTZ","Hageland Aviation Service",2,16,16,194,215
"6714","UNK","SKK","Hageland Aviation Service",41,246,79,35,32
"6715","UNK","SKK","Hageland Aviation Service",1,8,6,194,32
"6716","UNK","SKK","Hageland Aviation Service",3,27,15,416,32
"6717","UNK","SKK","Hageland Aviation Service",1,9,7,417,32
"6718","UNK","SKK","Hageland Aviation Service",4,24,8,35,32
"6719","UNK","SMK","Hageland Aviation Service",25,150,23,35,47
"6720","UNK","SMK","Hageland Aviation Service",11,88,25,194,47
"6721","UNK","SMK","Hageland Aviation Service",22,198,111,416,47
"6722","UNK","SMK","Hageland Aviation Service",4,36,25,417,47
"6723","UNK","SMK","Hageland Aviation Service",2,12,2,35,47
"6724","UNK","SMK","Hageland Aviation Service",1,9,3,417,47
"6725","UNK","SVA","Hageland Aviation Service",1,19,14,405,296
"6726","UNK","UNK","Hageland Aviation Service",1,6,1,35,0
"6727","UNK","WBB","Hageland Aviation Service",13,78,9,35,52
"6728","UNK","WBB","Hageland Aviation Service",3,24,12,194,52
"6729","UNK","WBB","Hageland Aviation Service",1,9,8,416,52
"6730","UNK","WBB","Hageland Aviation Service",1,9,2,417,52
"6731","UNK","WMO","Hageland Aviation Service",2,18,9,416,96
"6732","VAK","BET","Hageland Aviation Service",5,40,8,194,136
"6733","VAK","BET","Hageland Aviation Service",40,360,192,416,136
"6734","VAK","BET","Hageland Aviation Service",11,99,55,417,136
"6735","VAK","HPB","Hageland Aviation Service",13,117,50,416,19
"6736","VAK","HPB","Hageland Aviation Service",3,27,12,417,19
"6737","VAK","PQS","Hageland Aviation Service",1,6,5,35,93
"6738","VAK","SCM","Hageland Aviation Service",2,16,6,194,22
"6739","VAK","SCM","Hageland Aviation Service",13,117,40,416,22
"6740","VAK","SCM","Hageland Aviation Service",1,9,3,417,22
"6741","VAK","SCM","Hageland Aviation Service",1,6,2,35,22
"6742","VAK","SCM","Hageland Aviation Service",1,9,5,416,22
"6743","VAK","WWT","Hageland Aviation Service",1,9,2,416,53
"6744","WAA","KTS","Hageland Aviation Service",4,32,6,194,51
"6745","WAA","KTS","Hageland Aviation Service",3,27,7,416,51
"6746","WAA","KTS","Hageland Aviation Service",2,18,8,417,51
"6747","WAA","OME","Hageland Aviation Service",7,56,18,194,109
"6748","WAA","OME","Hageland Aviation Service",14,126,45,416,109
"6749","WAA","OME","Hageland Aviation Service",2,18,6,417,109
"6750","WAA","TLA","Hageland Aviation Service",1,9,4,416,56
"6751","WBB","KOT","Hageland Aviation Service",8,48,21,35,52
"6752","WBB","OME","Hageland Aviation Service",10,80,20,194,118
"6753","WBB","OME","Hageland Aviation Service",18,162,59,416,118
"6754","WBB","OME","Hageland Aviation Service",4,36,5,417,118
"6755","WBB","OTZ","Hageland Aviation Service",1,9,6,417,234
"6756","WBB","SMK","Hageland Aviation Service",19,114,35,35,8
"6757","WBB","SMK","Hageland Aviation Service",5,40,20,194,8
"6758","WBB","SMK","Hageland Aviation Service",13,117,53,416,8
"6759","WBB","SMK","Hageland Aviation Service",1,9,2,417,8
"6760","WBB","UNK","Hageland Aviation Service",13,78,16,35,52
"6761","WBB","UNK","Hageland Aviation Service",3,27,20,416,52
"6762","WBB","UNK","Hageland Aviation Service",1,9,9,417,52
"6763","WBB","UNK","Hageland Aviation Service",1,6,1,35,52
"6764","WLK","BKC","Hageland Aviation Service",1,6,2,35,54
"6765","WLK","IAN","Hageland Aviation Service",2,18,10,416,29
"6766","WLK","ORV","Hageland Aviation Service",2,18,9,416,33
"6767","WLK","OTZ","Hageland Aviation Service",11,66,13,35,74
"6768","WLK","OTZ","Hageland Aviation Service",6,48,12,194,74
"6769","WLK","OTZ","Hageland Aviation Service",29,261,71,416,74
"6770","WLK","OTZ","Hageland Aviation Service",6,48,18,194,74
"6771","WLK","OTZ","Hageland Aviation Service",3,27,1,416,74
"6772","WLK","RDB","Hageland Aviation Service",1,8,7,194,126
"6773","WLK","RDB","Hageland Aviation Service",1,9,9,416,126
"6774","WMO","GLV","Hageland Aviation Service",6,48,14,194,15
"6775","WMO","GLV","Hageland Aviation Service",8,72,28,416,15
"6776","WMO","GLV","Hageland Aviation Service",7,63,18,417,15
"6777","WMO","GLV","Hageland Aviation Service",1,9,3,416,15
"6778","WMO","OME","Hageland Aviation Service",3,24,7,194,62
"6779","WMO","OME","Hageland Aviation Service",12,108,50,416,62
"6780","WMO","OME","Hageland Aviation Service",5,45,18,417,62
"6781","WMO","SKK","Hageland Aviation Service",1,8,5,194,72
"6782","WMO","UNK","Hageland Aviation Service",2,12,1,35,96
"6783","WMO","UNK","Hageland Aviation Service",1,9,9,416,96
"6784","WNA","BET","Hageland Aviation Service",2,12,3,35,11
"6785","WTK","KVL","Hageland Aviation Service",3,18,3,35,43
"6786","WTK","KVL","Hageland Aviation Service",2,16,5,194,43
"6787","WTK","KVL","Hageland Aviation Service",16,144,65,416,43
"6788","WTK","KVL","Hageland Aviation Service",3,27,18,416,43
"6789","WTK","ORV","Hageland Aviation Service",1,8,5,194,73
"6790","WTK","OTZ","Hageland Aviation Service",6,36,11,35,48
"6791","WTK","OTZ","Hageland Aviation Service",4,32,4,194,48
"6792","WTK","OTZ","Hageland Aviation Service",21,189,62,416,48
"6793","WTK","OTZ","Hageland Aviation Service",3,18,9,35,48
"6794","WTK","OTZ","Hageland Aviation Service",3,24,13,194,48
"6795","WTK","OTZ","Hageland Aviation Service",4,36,4,416,48
"6796","WTK","RDB","Hageland Aviation Service",3,27,26,416,33
"6797","WTK","TLA","Hageland Aviation Service",1,8,8,194,184
"6798","WTL","BET","Hageland Aviation Service",40,240,93,35,41
"6799","WTL","BET","Hageland Aviation Service",7,63,11,416,41
"6800","WTL","BET","Hageland Aviation Service",4,24,12,35,41
"6801","WTL","EEK","Hageland Aviation Service",5,30,5,35,23
"6802","WTL","EEK","Hageland Aviation Service",1,9,4,416,23
"6803","WTL","KKH","Hageland Aviation Service",1,9,4,416,37
"6804","WTL","KWK","Hageland Aviation Service",1,9,4,416,40
"6805","WTL","KWN","Hageland Aviation Service",3,18,7,35,49
"6806","WWT","BET","Hageland Aviation Service",2,12,7,35,96
"6807","WWT","BET","Hageland Aviation Service",27,243,114,416,96
"6808","WWT","NME","Hageland Aviation Service",2,12,6,35,30
"6809","WWT","NME","Hageland Aviation Service",2,18,14,416,30
"6810","WWT","OOK","Hageland Aviation Service",4,36,12,416,31
"6811","WWT","TNK","Hageland Aviation Service",2,12,2,35,32
"6812","WWT","TNK","Hageland Aviation Service",13,117,37,416,32
"6813","WWT","VAK","Hageland Aviation Service",1,9,7,416,53
"6814","AKK","HOM","Homer Air",1,5,4,35,211
"6815","HOM","AKK","Homer Air",1,5,4,35,211
"6816","HOM","KEB","Homer Air",50,250,109,35,26
"6817","HOM","PGM","Homer Air",61,305,76,35,24
"6818","HOM","SOV","Homer Air",120,600,231,35,17
"6819","KEB","HOM","Homer Air",65,325,123,35,26
"6820","KEB","PGM","Homer Air",36,180,66,35,3
"6821","KEB","SOV","Homer Air",32,160,40,35,10
"6822","PGM","HOM","Homer Air",49,245,82,35,24
"6823","PGM","KEB","Homer Air",55,275,73,35,3
"6824","PGM","SOV","Homer Air",35,175,38,35,7
"6825","SOV","HOM","Homer Air",115,575,236,35,17
"6826","SOV","KEB","Homer Air",28,140,24,35,10
"6827","SOV","PGM","Homer Air",42,210,44,35,7
"6828","AGN","JNU","Alaska Seaplane Service",42,252,100,40,59
"6829","AGN","TKE","Alaska Seaplane Service",6,36,3,40,27
"6830","ELV","JNU","Alaska Seaplane Service",4,24,2,40,64
"6831","ELV","PEC","Alaska Seaplane Service",5,30,4,40,18
"6832","JNU","AGN","Alaska Seaplane Service",34,204,58,40,59
"6833","JNU","ELV","Alaska Seaplane Service",6,36,7,40,64
"6834","JNU","PEC","Alaska Seaplane Service",21,126,25,40,67
"6835","JNU","TKE","Alaska Seaplane Service",24,144,32,40,50
"6836","JNU","TKE","Alaska Seaplane Service",2,12,2,40,50
"6837","PEC","ELV","Alaska Seaplane Service",2,12,1,40,18
"6838","PEC","JNU","Alaska Seaplane Service",24,144,35,40,67
"6839","PEC","JNU","Alaska Seaplane Service",1,6,1,40,67
"6840","TKE","AGN","Alaska Seaplane Service",14,84,15,40,27
"6841","TKE","JNU","Alaska Seaplane Service",16,96,18,40,50
"6842","TKE","PEC","Alaska Seaplane Service",1,6,1,40,41
"6843","CGA","FVX","Venture Travel LLC d/b/a Taquan Air Service",1,6,1,40,40
"6844","CGA","KTB","Venture Travel LLC d/b/a Taquan Air Service",29,174,3,40,28
"6845","CGA","WFB","Venture Travel LLC d/b/a Taquan Air Service",31,186,15,40,59
"6846","DOF","WFB","Venture Travel LLC d/b/a Taquan Air Service",2,12,1,40,23
"6847","EDA","NKI","Venture Travel LLC d/b/a Taquan Air Service",4,24,2,40,17
"6848","EDA","WFB","Venture Travel LLC d/b/a Taquan Air Service",8,48,7,40,87
"6849","FVX","WFB","Venture Travel LLC d/b/a Taquan Air Service",1,6,1,40,58
"6850","HYG","DOF","Venture Travel LLC d/b/a Taquan Air Service",2,12,1,40,24
"6851","HYL","KTB","Venture Travel LLC d/b/a Taquan Air Service",1,6,1,40,15
"6852","KCC","KPB","Venture Travel LLC d/b/a Taquan Air Service",1,6,2,40,35
"6853","KCC","WFB","Venture Travel LLC d/b/a Taquan Air Service",8,48,2,40,68
"6854","KCC","WWP","Venture Travel LLC d/b/a Taquan Air Service",4,24,2,40,10
"6855","KPB","KCC","Venture Travel LLC d/b/a Taquan Air Service",2,12,1,40,35
"6856","KPB","KTB","Venture Travel LLC d/b/a Taquan Air Service",1,6,2,40,62
"6857","KPB","PPV","Venture Travel LLC d/b/a Taquan Air Service",2,12,5,40,1
"6858","KTB","WFB","Venture Travel LLC d/b/a Taquan Air Service",23,138,6,40,41
"6859","MTM","WFB","Venture Travel LLC d/b/a Taquan Air Service",28,168,4,40,16
"6860","NKI","EDA","Venture Travel LLC d/b/a Taquan Air Service",7,42,3,40,17
"6861","NKI","WFB","Venture Travel LLC d/b/a Taquan Air Service",8,48,2,40,71
"6862","PPV","EDA","Venture Travel LLC d/b/a Taquan Air Service",1,6,1,40,27
"6863","PPV","KCC","Venture Travel LLC d/b/a Taquan Air Service",1,6,1,40,34
"6864","PPV","KPB","Venture Travel LLC d/b/a Taquan Air Service",5,30,3,40,1
"6865","PPV","WFB","Venture Travel LLC d/b/a Taquan Air Service",3,18,4,40,101
"6866","WFB","CGA","Venture Travel LLC d/b/a Taquan Air Service",89,534,10,40,59
"6867","WFB","EDA","Venture Travel LLC d/b/a Taquan Air Service",6,36,2,40,87
"6868","WFB","HYG","Venture Travel LLC d/b/a Taquan Air Service",14,84,2,40,47
"6869","WFB","HYL","Venture Travel LLC d/b/a Taquan Air Service",1,6,1,40,39
"6870","WFB","KCC","Venture Travel LLC d/b/a Taquan Air Service",10,60,4,40,68
"6871","WFB","KPB","Venture Travel LLC d/b/a Taquan Air Service",4,24,2,40,102
"6872","WFB","KTB","Venture Travel LLC d/b/a Taquan Air Service",8,48,6,40,41
"6873","WFB","MTM","Venture Travel LLC d/b/a Taquan Air Service",41,246,11,40,16
"6874","WFB","NKI","Venture Travel LLC d/b/a Taquan Air Service",5,30,2,40,71
"6875","WFB","PPV","Venture Travel LLC d/b/a Taquan Air Service",9,54,7,40,101
"6876","WFB","WHD","Venture Travel LLC d/b/a Taquan Air Service",10,60,3,40,75
"6877","WFB","ZXH","Venture Travel LLC d/b/a Taquan Air Service",1,6,1,40,19
"6878","WHD","WFB","Venture Travel LLC d/b/a Taquan Air Service",10,60,2,40,75
"6879","WWP","WFB","Venture Travel LLC d/b/a Taquan Air Service",2,12,2,40,77
"6880","ZXH","WFB","Venture Travel LLC d/b/a Taquan Air Service",4,24,1,40,19
"6881","ANC","CDB","Alaska Central Express",1,19,14,405,620
"6882","ANC","ILI","Alaska Central Express",1,19,11,405,195
"6883","ANC","KVC","Alaska Central Express",1,19,9,405,617
"6884","ANC","NLG","Alaska Central Express",1,19,9,405,538
"6885","DUT","CDB","Alaska Central Express",2,38,32,405,178
"6886","ILI","DUT","Alaska Central Express",1,19,9,405,598
"6887","NLG","ANC","Alaska Central Express",1,19,11,405,538
"6888","ADQ","DUT","Peninsula Airways Inc.",1,17,8,467,607
"6889","AKB","DUT","Peninsula Airways Inc.",10,90,18,467,340
"6890","AKN","ANC","Peninsula Airways Inc.",40,1200,676,456,289
"6891","AKN","BSZ","Peninsula Airways Inc.",2,10,2,79,40
"6892","AKN","CDB","Peninsula Airways Inc.",9,270,253,456,332
"6893","AKN","DLG","Peninsula Airways Inc.",31,155,48,79,71
"6894","AKN","DLG","Peninsula Airways Inc.",8,72,24,416,71
"6895","AKN","DLG","Peninsula Airways Inc.",25,750,437,456,71
"6896","AKN","DUT","Peninsula Airways Inc.",22,660,533,456,503
"6897","AKN","DUT","Peninsula Airways Inc.",1,30,23,456,503
"6898","AKN","EGX","Peninsula Airways Inc.",12,60,15,79,42
"6899","AKN","EGX","Peninsula Airways Inc.",4,36,15,416,42
"6900","AKN","EGX","Peninsula Airways Inc.",1,5,1,79,42
"6901","AKN","IGG","Peninsula Airways Inc.",13,65,9,79,52
"6902","AKN","IGG","Peninsula Airways Inc.",2,10,4,79,52
"6903","AKN","KCG","Peninsula Airways Inc.",1,9,6,416,176
"6904","AKN","KCL","Peninsula Airways Inc.",2,18,5,416,178
"6905","AKN","KCQ","Peninsula Airways Inc.",4,36,21,416,185
"6906","AKN","KEK","Peninsula Airways Inc.",1,5,1,79,55
"6907","AKN","KLL","Peninsula Airways Inc.",14,70,16,79,31
"6908","AKN","KLL","Peninsula Airways Inc.",3,15,2,79,31
"6909","AKN","KNK","Peninsula Airways Inc.",1,5,1,79,79
"6910","AKN","KNW","Peninsula Airways Inc.",1,5,2,79,59
"6911","AKN","KNW","Peninsula Airways Inc.",2,18,15,416,59
"6912","AKN","KPV","Peninsula Airways Inc.",11,99,54,416,213
"6913","AKN","PIP","Peninsula Airways Inc.",16,80,21,79,84
"6914","AKN","PIP","Peninsula Airways Inc.",5,45,7,416,84
"6915","AKN","PTH","Peninsula Airways Inc.",4,20,7,79,140
"6916","AKN","PTH","Peninsula Airways Inc.",17,153,54,416,140
"6917","AKN","SDP","Peninsula Airways Inc.",2,60,33,456,274
"6918","AKN","UGB","Peninsula Airways Inc.",3,27,14,416,95
"6919","AKN","WSN","Peninsula Airways Inc.",15,75,11,79,13
"6920","ANC","AKN","Peninsula Airways Inc.",94,2820,1786,456,289
"6921","ANC","AKN","Peninsula Airways Inc.",1,30,23,456,289
"6922","ANC","ANC","Peninsula Airways Inc.",3,88,42,456,0
"6923","ANC","ANC","Peninsula Airways Inc.",1,30,4,456,0
"6924","ANC","ANI","Peninsula Airways Inc.",26,780,252,456,318
"6925","ANC","BET","Peninsula Airways Inc.",3,90,15,456,399
"6926","ANC","CDB","Peninsula Airways Inc.",31,930,512,456,620
"6927","ANC","CDB","Peninsula Airways Inc.",1,30,1,456,620
"6928","ANC","DLG","Peninsula Airways Inc.",68,2024,1501,456,329
"6929","ANC","DUT","Peninsula Airways Inc.",33,990,489,456,792
"6930","ANC","DUT","Peninsula Airways Inc.",2,60,19,456,792
"6931","ANC","JNU","Peninsula Airways Inc.",1,30,12,456,571
"6932","ANC","MCG","Peninsula Airways Inc.",25,750,249,456,220
"6933","ANC","MCG","Peninsula Airways Inc.",1,30,22,456,220
"6934","ANC","SDP","Peninsula Airways Inc.",27,810,361,456,557
"6935","ANC","SNP","Peninsula Airways Inc.",11,298,79,456,767
"6936","ANC","STG","Peninsula Airways Inc.",3,82,27,456,765
"6937","ANC","UNK","Peninsula Airways Inc.",23,690,314,456,392
"6938","ANI","ANC","Peninsula Airways Inc.",24,720,185,456,318
"6939","ANI","ANI","Peninsula Airways Inc.",1,30,7,456,0
"6940","ANI","UNK","Peninsula Airways Inc.",2,60,25,456,164
"6941","BET","ANC","Peninsula Airways Inc.",2,60,54,456,399
"6942","BET","OME","Peninsula Airways Inc.",1,30,29,456,282
"6943","BFI","ANC","Peninsula Airways Inc.",1,30,7,456,1444
"6944","BSZ","EGX","Peninsula Airways Inc.",3,15,3,79,2
"6945","CDB","AKN","Peninsula Airways Inc.",2,60,53,456,332
"6946","CDB","ANC","Peninsula Airways Inc.",26,780,366,456,620
"6947","CDB","ANC","Peninsula Airways Inc.",3,90,53,456,620
"6948","CDB","DUT","Peninsula Airways Inc.",23,690,494,456,178
"6949","CDB","KFP","Peninsula Airways Inc.",17,85,23,79,37
"6950","CDB","KVC","Peninsula Airways Inc.",96,480,162,79,19
"6951","CDB","NLG","Peninsula Airways Inc.",23,115,23,79,83
"6952","CDB","NLG","Peninsula Airways Inc.",2,10,1,79,83
"6953","CDB","SDP","Peninsula Airways Inc.",12,360,145,456,88
"6954","DLG","AKN","Peninsula Airways Inc.",30,150,63,79,71
"6955","DLG","AKN","Peninsula Airways Inc.",6,54,23,416,71
"6956","DLG","AKN","Peninsula Airways Inc.",2,60,10,456,71
"6957","DLG","AKN","Peninsula Airways Inc.",1,5,1,79,71
"6958","DLG","ANC","Peninsula Airways Inc.",84,2520,1601,456,329
"6959","DLG","CDB","Peninsula Airways Inc.",3,90,81,456,309
"6960","DLG","KEK","Peninsula Airways Inc.",3,15,1,79,43
"6961","DLG","KLL","Peninsula Airways Inc.",1,9,5,416,59
"6962","DLG","KMO","Peninsula Airways Inc.",10,50,11,79,20
"6963","DLG","KMO","Peninsula Airways Inc.",8,72,16,416,20
"6964","DLG","KNW","Peninsula Airways Inc.",1,5,3,79,50
"6965","DLG","KNW","Peninsula Airways Inc.",5,45,4,416,50
"6966","DLG","STG","Peninsula Airways Inc.",4,104,59,456,441
"6967","DLG","TOG","Peninsula Airways Inc.",8,40,17,79,67
"6968","DLG","TOG","Peninsula Airways Inc.",34,306,54,416,67
"6969","DLG","TWA","Peninsula Airways Inc.",3,27,1,416,63
"6970","DLG","WSN","Peninsula Airways Inc.",1,9,7,416,58
"6971","DUT","ADQ","Peninsula Airways Inc.",1,17,11,467,607
"6972","DUT","AKB","Peninsula Airways Inc.",11,99,27,467,340
"6973","DUT","AKN","Peninsula Airways Inc.",1,30,27,456,503
"6974","DUT","ANC","Peninsula Airways Inc.",71,2130,1157,456,792
"6975","DUT","ANC","Peninsula Airways Inc.",2,60,45,456,792
"6976","DUT","CDB","Peninsula Airways Inc.",9,270,175,456,178
"6977","DUT","CDB","Peninsula Airways Inc.",2,60,52,456,178
"6978","DUT","IKO","Peninsula Airways Inc.",1,9,2,170,116
"6979","DUT","KQA","Peninsula Airways Inc.",7,63,30,170,35
"6980","DUT","SDP","Peninsula Airways Inc.",6,180,87,456,261
"6981","EGX","AKN","Peninsula Airways Inc.",21,105,22,79,42
"6982","EGX","AKN","Peninsula Airways Inc.",2,18,15,416,42
"6983","EGX","BSZ","Peninsula Airways Inc.",1,5,1,79,2
"6984","EGX","CFA","Peninsula Airways Inc.",1,5,2,79,5
"6985","EGX","PIP","Peninsula Airways Inc.",3,15,3,79,45
"6986","EGX","PIP","Peninsula Airways Inc.",2,18,6,416,45
"6987","EGX","PTH","Peninsula Airways Inc.",1,9,3,416,99
"6988","EGX","UGB","Peninsula Airways Inc.",2,10,4,79,56
"6989","EGX","WSN","Peninsula Airways Inc.",1,5,1,79,37
"6990","IGG","AKN","Peninsula Airways Inc.",11,55,5,79,52
"6991","IGG","AKN","Peninsula Airways Inc.",2,10,5,79,52
"6992","IGG","KLL","Peninsula Airways Inc.",7,35,14,79,37
"6993","IGG","KNK","Peninsula Airways Inc.",1,5,4,79,34
"6994","IKO","DUT","Peninsula Airways Inc.",1,9,1,170,116
"6995","JNU","BFI","Peninsula Airways Inc.",1,30,15,456,904
"6996","KCG","AKN","Peninsula Airways Inc.",5,45,19,416,176
"6997","KCG","KCL","Peninsula Airways Inc.",8,72,27,416,6
"6998","KCG","KCQ","Peninsula Airways Inc.",9,81,33,416,16
"6999","KCG","KPV","Peninsula Airways Inc.",4,36,15,416,41
"7000","KCG","UGB","Peninsula Airways Inc.",1,9,9,416,81
"7001","KCL","AKN","Peninsula Airways Inc.",1,9,9,416,178
"7002","KCL","EGX","Peninsula Airways Inc.",1,9,6,416,138
"7003","KCL","KCG","Peninsula Airways Inc.",1,5,1,79,6
"7004","KCL","KCG","Peninsula Airways Inc.",13,117,45,416,6
"7005","KCL","KCQ","Peninsula Airways Inc.",8,72,30,416,10
"7006","KCQ","AKN","Peninsula Airways Inc.",1,5,1,79,185
"7007","KCQ","AKN","Peninsula Airways Inc.",9,81,59,416,185
"7008","KCQ","KCG","Peninsula Airways Inc.",3,27,8,416,16
"7009","KCQ","KCL","Peninsula Airways Inc.",13,117,48,416,10
"7010","KCQ","KPV","Peninsula Airways Inc.",4,36,14,416,28
"7011","KCQ","PTH","Peninsula Airways Inc.",4,36,14,416,49
"7012","KEK","AKN","Peninsula Airways Inc.",1,5,1,79,55
"7013","KEK","DLG","Peninsula Airways Inc.",2,10,3,79,43
"7014","KFP","CDB","Peninsula Airways Inc.",17,85,11,79,37
"7015","KFP","SDP","Peninsula Airways Inc.",1,5,4,79,119
"7016","KGK","DLG","Peninsula Airways Inc.",4,36,4,416,69
"7017","KLL","AKN","Peninsula Airways Inc.",16,80,17,79,31
"7018","KLL","AKN","Peninsula Airways Inc.",1,9,6,416,31
"7019","KLL","AKN","Peninsula Airways Inc.",3,15,2,79,31
"7020","KLL","DLG","Peninsula Airways Inc.",2,10,4,79,59
"7021","KLL","IGG","Peninsula Airways Inc.",4,20,4,79,37
"7022","KLL","KLL","Peninsula Airways Inc.",1,5,4,79,0
"7023","KMO","AKN","Peninsula Airways Inc.",2,10,2,79,89
"7024","KMO","DLG","Peninsula Airways Inc.",10,50,20,79,20
"7025","KMO","DLG","Peninsula Airways Inc.",12,108,26,416,20
"7026","KMO","TOG","Peninsula Airways Inc.",4,36,4,416,48
"7027","KNK","IGG","Peninsula Airways Inc.",1,5,3,79,34
"7028","KNK","ILI","Peninsula Airways Inc.",1,5,3,79,22
"7029","KNW","DLG","Peninsula Airways Inc.",2,10,2,79,50
"7030","KNW","DLG","Peninsula Airways Inc.",4,36,2,416,50
"7031","KNW","DLG","Peninsula Airways Inc.",1,9,10,416,50
"7032","KNW","KGK","Peninsula Airways Inc.",3,27,3,416,24
"7033","KPV","AKN","Peninsula Airways Inc.",1,5,3,79,213
"7034","KPV","AKN","Peninsula Airways Inc.",7,63,5,416,213
"7035","KPV","KCG","Peninsula Airways Inc.",6,54,33,416,41
"7036","KPV","KCQ","Peninsula Airways Inc.",5,45,26,416,28
"7037","KPV","PTH","Peninsula Airways Inc.",4,36,8,416,75
"7038","KQA","DUT","Peninsula Airways Inc.",7,63,10,170,35
"7039","KVC","CDB","Peninsula Airways Inc.",96,480,90,79,19
"7040","KVC","KFP","Peninsula Airways Inc.",1,5,4,79,46
"7041","KVC","SDP","Peninsula Airways Inc.",1,5,2,79,73
"7042","MCG","ANC","Peninsula Airways Inc.",24,720,235,456,220
"7043","MCG","ANC","Peninsula Airways Inc.",1,30,21,456,220
"7044","MCG","UNK","Peninsula Airways Inc.",1,30,9,456,173
"7045","NLG","CDB","Peninsula Airways Inc.",22,110,21,79,83
"7046","NLG","CDB","Peninsula Airways Inc.",2,10,4,79,83
"7047","OME","ANC","Peninsula Airways Inc.",1,30,9,456,539
"7048","PIP","AKN","Peninsula Airways Inc.",12,60,31,79,84
"7049","PIP","AKN","Peninsula Airways Inc.",5,45,19,416,84
"7050","PIP","EGX","Peninsula Airways Inc.",4,20,1,79,45
"7051","PIP","PTH","Peninsula Airways Inc.",7,63,19,416,58
"7052","PIP","UGB","Peninsula Airways Inc.",7,35,1,79,12
"7053","PML","NLG","Peninsula Airways Inc.",1,5,1,79,24
"7054","PTH","AKN","Peninsula Airways Inc.",3,15,3,79,140
"7055","PTH","AKN","Peninsula Airways Inc.",16,144,67,416,140
"7056","PTH","KCG","Peninsula Airways Inc.",4,36,9,416,46
"7057","PTH","KCQ","Peninsula Airways Inc.",6,54,18,416,49
"7058","PTH","KPV","Peninsula Airways Inc.",3,27,6,416,75
"7059","PTH","PIP","Peninsula Airways Inc.",1,5,4,79,58
"7060","PTH","PIP","Peninsula Airways Inc.",4,36,16,416,58
"7061","PTH","UGB","Peninsula Airways Inc.",1,9,5,416,47
"7062","SDP","ANC","Peninsula Airways Inc.",26,780,331,456,557
"7063","SDP","CDB","Peninsula Airways Inc.",11,330,157,456,88
"7064","SDP","DUT","Peninsula Airways Inc.",10,300,103,456,261
"7065","SDP","KVC","Peninsula Airways Inc.",2,10,2,79,73
"7066","SNP","ANC","Peninsula Airways Inc.",14,378,202,456,767
"7067","SNP","STG","Peninsula Airways Inc.",2,54,33,456,46
